code;activite;phase;icr;classant
BBFA004;1;0;147;Y
BBGA001;1;0;89;Y
BBHA001;1;0;64;Y
BBHA002;1;0;64;Y
BBJD001;1;0;29;Y
BBLA001;1;0;212;Y
BBLD001;1;0;74;Y
BBLD002;1;0;30;Y
BBLD003;1;0;29;Y
BBLD004;1;0;38;Y
BBMA002;1;0;138;Y
BBMA003;1;0;179;Y
BBMA004;1;0;166;Y
BBPA001;1;0;84;Y
BBPA002;1;0;35;Y
BBPA003;1;0;60;Y
BBQE900;1;0;73;NA
BBQH001;1;0;20;NA
BBQL001;1;0;61;NA
BBQP001;1;0;26;NA
BBSP001;1;0;34;Y
BCBP001;1;0;78;Y
BCCA001;1;0;57;Y
BCFA003;1;0;133;Y
BCFA004;1;0;84;Y
BCFA005;1;0;185;Y
BCFA006;1;0;149;Y
BCFA007;1;0;177;Y
BCFA008;1;0;70;Y
BCFA009;1;0;92;Y
BCHA001;1;0;30;Y
BCHP001;1;0;27;NA
BCLA001;1;0;23;Y
BCLB001;1;0;23;Y
BCMA001;1;0;81;Y
BCNP001;1;0;36;Y
BCPA001;1;0;38;Y
BCPA002;1;0;114;Y
BCPA003;1;0;103;Y
BCPA004;1;0;58;Y
BCPA005;1;0;39;Y
BCQP001;1;0;22;NA
BDCA001;1;0;83;Y
BDCA002;1;0;113;Y
BDCA003;1;0;60;Y
BDCA004;1;0;65;Y
BDCB001;1;0;34;Y
BDEA002;1;0;50;Y
BDFA001;1;0;131;Y
BDFA002;1;0;98;Y
BDFA003;1;0;81;Y
BDFA004;1;0;95;Y
BDFA006;1;0;68;NA
BDFA007;1;0;78;NA
BDFL001;1;0;62;Y
BDFP001;1;0;100;Y
BDFP002;1;0;70;Y
BDFP003;1;0;117;NA
BDGA002;1;0;98;Y
BDGA004;1;0;98;Y
BDGA005;1;0;76;Y
BDGP002;1;0;20;Y
BDGP003;1;0;20;Y
BDHA001;1;0;43;Y
BDHP001;1;0;26;Y
BDJP001;1;0;30;NA
BDLA002;1;0;349;Y
BDLA003;1;1;185;Y
BDLA003;1;2;103;Y
BDLA005;1;0;50;Y
BDMA001;1;0;180;Y
BDMA002;1;0;172;Y
BDMA003;1;0;223;Y
BDMA006;1;0;171;Y
BDMA008;1;0;180;Y
BDMA900;1;0;185;Y
BDMP002;1;0;12;NA
BDNP001;1;0;35;Y
BDNP002;1;0;30;Y
BDNP003;1;0;66;Y
BDPA001;1;0;65;Y
BDQP001;1;0;24;NA
BDQP002;1;0;41;NA
BDQP003;1;0;29;NA
BDQP004;1;0;47;NA
BDRP027;1;0;0;Y
BEEA001;1;0;76;Y
BEEA002;1;0;103;Y
BEFA001;1;0;119;Y
BEFA003;1;0;127;Y
BEFA004;1;0;204;Y
BEFA005;1;0;193;Y
BEFA007;1;0;81;Y
BEFA008;1;0;130;Y
BEFA009;1;0;266;Y
BEGA002;1;0;114;Y
BEGA003;1;0;267;Y
BEGA004;1;0;117;Y
BEHB001;1;0;34;Y
BEJB001;1;0;79;Y
BEJB002;1;0;57;Y
BEJB004;1;0;212;Y
BELA001;1;0;30;NA
BELA002;1;0;50;Y
BELB001;1;0;57;Y
BEMA002;1;0;92;Y
BEMA008;1;0;144;Y
BEMP001;1;0;34;Y
BENA001;1;0;81;Y
BENA002;1;0;74;Y
BENP001;1;0;32;Y
BEPA001;1;0;86;Y
BEPA002;1;0;106;Y
BEPA003;1;0;127;Y
BEPA004;1;0;70;Y
BEPB001;1;0;127;Y
BEPP001;1;0;31;Y
BEPP002;1;0;27;Y
BEQP001;1;0;114;NA
BEQP002;1;0;32;NA
BEQP004;1;0;27;NA
BEQP007;1;0;25;NA
BEQP900;1;0;44;NA
BFEA001;1;0;106;Y
BFGA001;1;0;217;Y
BFGA002;1;0;149;Y
BFGA003;1;0;141;Y
